Comprehensive Processed Phrases - welab_bank_negative_comprehensive_processed_phrases.txt
==================================================

'stuck in scanning id' (frequency: 16)
'tried many times' (frequency: 9)
'still cannot open' (frequency: 7)
'get past the' (frequency: 6)
'sign up experience' (frequency: 6)
'times and still' (frequency: 6)
'how many times' (frequency: 5)
'no matter how' (frequency: 5)
'CS actually told him to go buy a new phone! That's crazy! what' (frequency: 5)
'unable to register' (frequency: 4)
'card to pay,' (frequency: 4)
'not user friendly' (frequency: 3)
'Actually told him to go buy another phone! Really crazy! what' (frequency: 3)
'very bad experience' (frequency: 3)
'failed to move' (frequency: 3)
'annoying to hard' (frequency: 3)
'sms it said' (frequency: 3)
'emailed already and' (frequency: 3)
'worst financial experiences' (frequency: 3)
'another sales pitch,' (frequency: 3)
'winded explanation that' (frequency: 3)
'ask and after' (frequency: 3)
'after waiting for' (frequency: 3)
'said “sorry dont' (frequency: 3)
'weeks after registering' (frequency: 3)
'answer the hotline' (frequency: 3)
'hotline and leave' (frequency: 3)
'leave voice msg' (frequency: 3)
'pretty high expectation' (frequency: 3)
'turns out that' (frequency: 3)
'support team and' (frequency: 3)
'was never disclosed' (frequency: 3)
'terms and conditions' (frequency: 3)
'selfie stage and' (frequency: 3)
'impossible to scan' (frequency: 3)
'all sides aligned' (frequency: 3)
'was still failed' (frequency: 3)
'lousy and it’s' (frequency: 3)
'not even worth' (frequency: 3)
'bubble did move,' (frequency: 3)
'move, no picture' (frequency: 3)
'picture taken, lost' (frequency: 3)
'patience; tried again' (frequency: 3)
'several hours later,' (frequency: 3)
'customer support without' (frequency: 3)
'it sounded like' (frequency: 3)
'tried to register' (frequency: 3)
'register 3 times' (frequency: 3)
'ambient light when' (frequency: 3)
'when it’s full' (frequency: 3)
'5 anymore, always' (frequency: 3)
'after 4days registrations' (frequency: 3)
'etc but unfortunately' (frequency: 3)
'selfie as requested' (frequency: 3)
'requested and taking' (frequency: 3)
'yet to receive' (frequency: 3)
'receive any confirmation' (frequency: 3)
'will take one' (frequency: 3)
'received any confirmation' (frequency: 3)
'even a way' (frequency: 3)
'way to close' (frequency: 3)
'nothing works even' (frequency: 3)
'even on wifi' (frequency: 3)
'how absurd that' (frequency: 3)
'customers to obtain' (frequency: 3)
'obtain basic info' (frequency: 3)
'their savings …' (frequency: 3)
'even get into' (frequency: 3)
'these companies burn' (frequency: 3)
'fails to sign-up' (frequency: 3)
'even receive the' (frequency: 3)
'timely manner, utter' (frequency: 3)
'planning to check' (frequency: 3)
'pay, it suddenly' (frequency: 3)
'finally please for' (frequency: 3)
'last week until' (frequency: 3)
'added to google' (frequency: 3)
'google pay/samsung pay,' (frequency: 3)
'upload id difficult' (frequency: 3)
'difficult to verify' (frequency: 3)
'filled in everything' (frequency: 3)
'stuck in "permission' (frequency: 3)
'"permission request" loop' (frequency: 3)
'just keep trying' (frequency: 3)
'u sending messeges' (frequency: 3)
'work on xiaomi' (frequency: 3)
'keeps saying "we' (frequency: 3)
'accept any requests' (frequency: 3)
'so many hours,' (frequency: 3)
'thinf was going' (frequency: 3)
'says sent already' (frequency: 3)
'already n deducted' (frequency: 3)
'username is correct' (frequency: 3)
'correct it saying' (frequency: 3)
