Comprehensive Processed Phrases - za_bank_negative_comprehensive_processed_phrases.txt
==================================================

'how many times' (frequency: 13)
'not user friendly' (frequency: 8)
't even open' (frequency: 7)
'matter how many' (frequency: 6)
'times but still' (frequency: 6)
'huawei y7 prime' (frequency: 6)
'google play store' (frequency: 5)
'no matter how' (frequency: 5)
'cash payout scheme' (frequency: 5)
'tried many times' (frequency: 5)
'due to internal' (frequency: 5)
'so many times' (frequency: 5)
'"cannot register due' (frequency: 5)
'sign up experience' (frequency: 4)
'very bad experience' (frequency: 4)
'stuck in scanning id' (frequency: 4)
'force closed immediately' (frequency: 4)
'try but still' (frequency: 4)
'card even though' (frequency: 4)
'worst facial recognition' (frequency: 4)
'buy online from' (frequency: 4)
'all day long' (frequency: 4)
'closed immediately and' (frequency: 4)
'waste of time,' (frequency: 4)
'download the apk' (frequency: 4)
'hates poor people' (frequency: 4)
'it keeps saying' (frequency: 4)
'purpose The rebate is ridiculously small, might as well cancel it.' (frequency: 4)
'get the scan' (frequency: 4)
'time… secretly altering the odds of the million-dollar lottery' (frequency: 3)
'after the latest' (frequency: 3)
'after updating android' (frequency: 3)
'other purpose the rebate is terrifyingly small' (frequency: 3)
'users the ability' (frequency: 3)
'need to agree' (frequency: 3)
'questions again and' (frequency: 3)
'work not able' (frequency: 3)
'some unknown reasons,' (frequency: 3)
'give the users' (frequency: 3)
'misleading descriptions and' (frequency: 3)
'scan or direct' (frequency: 3)
'eyes after the' (frequency: 3)
'reduced the cash' (frequency: 3)
'giving out much' (frequency: 3)
'agree to anything' (frequency: 3)
'malware or virus' (frequency: 3)
'virus or something' (frequency: 3)
'“take a selfie”' (frequency: 3)
'placed, perfectly lit,' (frequency: 3)
'check the balance' (frequency: 3)
'not even try' (frequency: 3)
'lit, perfectly angled,' (frequency: 3)
'angled, perfectly timed,' (frequency: 3)
'one automatically unless' (frequency: 3)
'name every time' (frequency: 3)
'times already very' (frequency: 3)
'started to send' (frequency: 3)
'“check in” and' (frequency: 3)
'possibility to deactivate' (frequency: 3)
'responsive in many' (frequency: 3)
'takes almost forever' (frequency: 3)
'forever to get' (frequency: 3)
'installment loan and' (frequency: 3)
'times with different' (frequency: 3)
'different devices, please' (frequency: 3)
'find out that' (frequency: 3)
'then no help' (frequency: 3)
'ability to disable' (frequency: 3)
'per day with' (frequency: 3)
'connected and there' (frequency: 3)
'fix the e-statements' (frequency: 3)
'e-statements no longer' (frequency: 3)
'actual items since' (frequency: 3)
'e-statements for reasons' (frequency: 3)
'such as reimbursements' (frequency: 3)
'reimbursements or proof' (frequency: 3)
'confusing and un-user' (frequency: 3)
'convert the coins' (frequency: 3)
'bright colours all' (frequency: 3)
'is about finance' (frequency: 3)
'finance not games' (frequency: 3)
'games and pretty' (frequency: 3)
'pretty decorations that' (frequency: 3)
'clutter up the' (frequency: 3)
'offer discounted loan' (frequency: 3)
'loan rate based' (frequency: 3)
'based on referral,' (frequency: 3)
'referral, but sneakily' (frequency: 3)
'sneakily took the' (frequency: 3)
'loss new customers' (frequency: 3)
'visually impaired people,' (frequency: 3)
'voice over unable' (frequency: 3)
'read the tags' (frequency: 3)
'get small loan,' (frequency: 3)
